date	Coal	Natural Gas	Oil Power Plants	Nuclear Power Plants	Gas Pipelines	Oil Pipelines
1950	3.64	0.29	0.06	NaN	10.48	2.35
1951	4.91	0.57	0.15	NaN	10.48	2.35
1952	8.00	0.28	0.05	NaN	10.48	2.35
1953	14.09	0.36	0.13	NaN	10.48	2.35
1954	18.06	1.00	0.19	NaN	10.48	2.35
1955	19.08	0.56	0.21	NaN	10.48	2.35
1956	4.82	0.87	0.07	NaN	10.48	2.35
1957	11.90	0.65	0.14	NaN	10.48	2.35
1958	20.44	1.85	0.28	NaN	10.48	2.35
1959	21.51	1.61	0.21	NaN	10.48	2.35
1960	13.30	1.09	0.13	NaN	12.38	7.67
1961	14.67	1.30	0.34	NaN	12.38	7.67
1962	11.45	1.32	0.30	NaN	12.38	7.67
1963	13.42	2.06	0.21	NaN	12.38	7.67
1964	14.73	1.42	0.43	NaN	12.38	7.67
1965	19.27	1.85	0.45	NaN	12.38	7.67
1966	13.34	1.82	0.52	NaN	12.38	7.67
1967	26.66	3.53	0.82	NaN	12.38	7.67
1968	31.84	2.28	1.55	0	12.38	7.67
1969	42.62	3.47	1.19	6.59	12.38	7.67
1970	38.38	4.48	1.28	12.53	6.64	7.04
1971	40.46	6.09	1.80	13.62	6.64	7.04
1972	35.46	5.66	3.61	35.57	6.64	7.04
1973	53.89	4.27	1.88	24.40	6.64	7.04
1974	38.56	5.88	4.83	53.51	6.64	7.04
1975	36.60	5.95	2.28	36.89	6.64	7.04
1976	28.77	2.90	1.69	21.55	6.64	7.04
1977	40.74	3.29	0.84	38.58	6.64	7.04
1978	39.51	2.03	1.87	11.68	6.64	7.04
1979	34.56	1.62	0.63	4.78	6.64	7.04
1980	51.94	0.36	0.70	10.63	6.51	4.28
1981	34.10	0.75	1.25	24.88	6.51	4.28
1982	40.39	0.87	0.24	6.75	6.51	4.28
1983	21.72	0.34	0.15	19.38	6.51	4.28
1984	36.24	0.97	0.09	45.08	6.51	4.28
1985	23.82	1.46	0.10	48.63	6.51	4.28
1986	20.89	1.29	0.13	54.71	6.51	4.28
1987	13.81	2.36	0.07	44.07	6.51	4.28
1988	6.01	2.56	0.11	35.53	6.51	4.28
1989	10.66	3.44	0.49	13.90	6.51	4.28
1990	7.24	4.75	0.27	19.88	8.52	5.02
1991	11.05	3.09	0.80	0	8.52	5.02
1992	5.20	4.72	0.27	NaN	8.52	5.02
1993	0.63	4.55	0.13	NaN	8.52	5.02
1994	3.48	8.63	0.10	NaN	8.52	5.02
1995	8.55	6.36	0.32	NaN	8.52	5.02
1996	6.59	3.94	0.29	NaN	8.52	5.02
1997	0.29	4.03	0.39	NaN	8.52	5.02
1998	0.01	1.94	0.16	NaN	8.52	5.02
1999	1.07	8.85	0.22	NaN	8.52	5.02
2000	0.42	28.45	0.66	NaN	8.09	3.59
2001	1.69	41.02	0.56	NaN	8.09	3.59
2002	0.03	61.46	0.97	NaN	8.09	3.59
2003	0.29	48.93	0.31	NaN	8.09	3.59
2004	2.00	23.42	0.27	NaN	8.09	3.59
2005	1.55	15.54	0.16	NaN	8.09	3.59
2006	1.94	9.32	0.18	NaN	8.09	3.59
2007	4.91	7.24	0.23	NaN	8.09	3.59
2008	5.14	8.26	0.09	NaN	8.09	3.59
2009	6.49	10.00	0.10	NaN	8.09	3.59
2010	18.94	7.04	0.66	NaN	2.46	4.21
2011	13.50	10.07	0.34	NaN	2.46	4.21
