date	Coal Power Plants	Natural Gas Power Plants	Oil Power Plants	Nuclear Power Plants	Gas Pipelines	Oil Pipelines
1950	1.12	0.51	0.12	NaN	22.87	0.76
1951	1.51	1.08	0.30	NaN	22.87	0.76
1952	2.46	0.55	0.08	NaN	22.87	0.76
1953	4.34	0.69	0.16	NaN	22.87	0.76
1954	5.56	1.87	0.38	NaN	22.87	0.76
1955	5.88	1.18	0.42	NaN	22.87	0.76
1956	1.49	1.81	0.11	NaN	22.87	0.76
1957	3.67	1.2	0.27	NaN	22.87	0.76
1958	6.3	3.45	0.58	NaN	22.87	0.76
1959	6.63	2.98	0.41	NaN	22.87	0.76
1960	4.1	2.3	0.22	NaN	35.34	2.48
1961	4.52	2.48	0.66	NaN	35.34	2.48
1962	3.53	2.64	0.53	NaN	35.34	2.48
1963	4.13	3.82	0.35	NaN	35.34	2.48
1964	4.54	2.82	0.82	NaN	35.34	2.48
1965	5.94	3.49	0.74	NaN	35.34	2.48
1966	4.11	3.22	0.75	NaN	35.34	2.48
1967	8.21	6.64	1.05	NaN	35.34	2.48
1968	9.81	4.37	2.17	NaN	35.34	2.48
1969	13.13	4.77	1.23	1.19	35.34	2.48
1970	11.82	6.76	1.40	2.27	26.18	2.27
1971	12.47	9.25	2.06	2.46	26.18	2.27
1972	10.93	8.11	4.46	6.43	26.18	2.27
1973	16.6	7.18	2.15	4.41	26.18	2.27
1974	11.88	9.18	6.55	9.68	26.18	2.27
1975	11.28	9.31	3.86	6.67	26.18	2.27
1976	8.86	4.02	2.69	3.90	26.18	2.27
1977	12.55	5.19	1.31	6.98	26.18	2.27
1978	12.17	2.65	2.54	2.11	26.18	2.27
1979	10.65	2.41	1.12	0.86	26.18	2.27
1980	16	0.39	1.20	1.92	29.94	1.38
1981	10.51	0.78	2.21	4.50	29.94	1.38
1982	12.44	0.94	0.24	1.22	29.94	1.38
1983	6.69	0.36	0.16	3.51	29.94	1.38
1984	11.17	1.05	0.10	8.15	29.94	1.38
1985	7.34	1.57	0.10	8.79	29.94	1.38
1986	6.43	1.37	0.23	9.89	29.94	1.38
1987	4.25	2.55	0.09	7.97	29.94	1.38
1988	1.85	2.74	0.14	6.42	29.94	1.38
1989	3.28	3.65	0.54	2.51	29.94	1.38
1990	2.23	5.08	0.27	3.60	41.89	1.62
1991	3.41	3.32	0.84	NaN	41.89	1.62
1992	1.6	5	0.28	NaN	41.89	1.62
1993	0.19	4.9	0.13	1.22	41.89	1.62
1994	1.07	9.26	0.11	NaN	41.89	1.62
1995	2.64	6.67	0.37	NaN	41.89	1.62
1996	1.91	4.18	0.29	1.27	41.89	1.62
1997	0.09	4.31	0.40	NaN	41.89	1.62
1998	0	2.08	0.17	NaN	41.89	1.62
1999	0.33	9.28	0.23	NaN	41.89	1.62
2000	0.13	30.01	0.68	NaN	39.03	1.16
2001	0.52	43.34	0.57	NaN	39.03	1.16
2002	0.01	65.7	0.99	NaN	39.03	1.16
2003	0.09	52.8	0.32	NaN	39.03	1.16
2004	0.62	25.35	0.28	NaN	39.03	1.16
2005	0.48	16.71	0.17	NaN	39.03	1.16
2006	0.6	10.08	0.21	NaN	39.03	1.16
2007	1.51	7.71	0.32	NaN	39.03	1.16
2008	1.58	8.79	0.09	NaN	39.03	1.16
2009	2	10.72	0.10	NaN	39.03	1.16
2010	5.84	7.52	1.05	NaN	64.13	1.36
2011	4.16	10.81	0.35	NaN	64.13	1.36
2012	3.95	10.13	0.58	NaN	64.13	1.36
