date	Coal	Gas	Oil Power Plant	Oil	Gas Pipeline
1938	0.00	0.00	0.00	0.0	0.3
1941	0.00	0.00	0.00	0.0	0.3
1944	0.01	0.00	0.00	0.0	0.3
1947	0.01	0.01	0.00	0.0	0.3
1950	0.08	0.04	0.01	0.1	0.9
1953	0.30	0.07	0.02	0.1	0.9
1956	0.31	0.12	0.02	0.1	0.9
1959	0.47	0.25	0.03	0.1	1.5
1962	0.33	0.25	0.04	0.1	1.5
1965	0.40	0.23	0.04	0.1	1.5
1968	0.85	0.43	0.12	0.1	1.1
1971	0.96	0.68	0.22	0.1	1.1
1974	1.14	0.72	0.34	0.1	1.1
1977	0.96	0.35	0.17	0.1	1.1
1980	1.06	0.10	0.13	0.1	1.2
1983	0.86	0.07	0.01	0.1	1.2
1986	0.51	0.16	0.01	0.1	1.2
1989	0.21	0.33	0.03	0.1	1.7
1992	0.14	0.38	0.04	0.1	1.7
1995	0.16	0.58	0.02	0.1	1.7
1998	0.01	0.45	0.02	0.0	1.6
2001	0.02	3.98	0.05	0.0	1.6
2004	0.03	2.73	0.02	0.0	1.6
2007	0.11	0.76	0.02	0.1	3.1
2010	0.34	0.83	0.04	0.1	2.7
2013	0.50	0.76	0.01
