date	US - Earnst and Young finding, development, and production cost	US - Earnst and Young finding and development cost	US - ACES expenditure and EIA annual production	Rest of World - EIA EvaluateEnergy expenditure (finding, development, and production)	Rest of World - PwC, capital cost	Rest of World - EIA EvaluateEnergy expenditure (finding, development)
2000	12	8	7	5	NaN	1
2001	15	10	9	6	NaN	1
2002	13	9	7	7	NaN	1
2003	14	9	9	7	NaN	1
2004	16	12	8	8	NaN	1
2005	23	15	11	8	NaN	2
2006	36	25	16	7	15	2
2007	37	23	19	7	13	2
2008	52	36	22	8	17	2
2009	32	19	15	10	16	3
2010	52	37	16	9	25	3
2011	53	36	22	9	22	3
2012	57	40	23	9	26	3
2013	51	34	NaN	NaN	NaN	NaN
